Plate,State,License Type,Summons Number,Issue Date,Violation Time,Violation,Judgment Entry Date,Fine Amount,Penalty Amount,Interest Amount,Reduction Amount,Payment Amount,Amount Due,Precinct,County,Issuing Agency,Violation Status
GJZ4967,NJ,PAS,8021172083,7/27/2015,09:39A,INSP. STICKER-EXPIRED/MISSING,11/12/2015,$65.00 ,$60.00 ,$2.92 ,$0.00 ,$0.00 ,$127.92 ,90,K,TRAFFIC,
GKA5144,NY,PAS,1384953085,7/19/2015,05:05P,NO STANDING-DAY/TIME LIMITS,,$115.00 ,$10.00 ,$0.00 ,$0.00 ,$0.00 ,$125.00 ,100,Q,POLICE DEPARTMENT,
GKB3422,CA,PAS,4608786623,7/22/2015,09:48A,PHTO SCHOOL ZN SPEED VIOLATION,10/15/2015,$50.00 ,$25.00 ,$2.25 ,$0.00 ,$0.00 ,$77.25 ,0,,DEPARTMENT OF TRANSPORTATION,
GKB7126,NY,PAS,8033541465,7/27/2015,11:27A,NO PARKING-STREET CLEANING,,$45.00 ,$10.00 ,$0.00 ,$4.99 ,$50.01 ,$0.00 ,90,K,TRAFFIC,HEARING HELD-GUILTY
GKB7514,NY,PAS,1361611200,7/15/2015,11:21A,OBSTRUCTING DRIVEWAY,,$95.00 ,$10.00 ,$0.00 ,$0.00 ,$0.00 ,$105.00 ,9,NY,POLICE DEPARTMENT,
GKD1336,AZ,PAS,7177956323,7/27/2015,04:19P,INSP. STICKER-EXPIRED/MISSING,11/12/2015,$65.00 ,$60.00 ,$2.91 ,$0.00 ,$0.00 ,$127.91 ,122,R,TRAFFIC,
GKD5784,NY,PAS,1354187775,7/16/2015,08:51A,NO PARKING-STREET CLEANING,11/5/2015,$45.00 ,$60.00 ,$2.57 ,$0.00 ,$0.00 ,$107.57 ,79,K,POLICE DEPARTMENT,
GKE6651,NY,PAS,8032730588,7/16/2015,05:36P,FAIL TO DSPLY MUNI METER RECPT,11/5/2015,$65.00 ,$60.00 ,$3.14 ,$0.00 ,$0.00 ,$128.14 ,6,NY,TRAFFIC,
,NY,PAS,8032730588,7/16/2015,05:36P,FAIL TO DSPLY MUNI METER RECPT,11/5/2015,$65.00 ,$60.00 ,$3.14 ,$0.00 ,$0.00 ,$128.14 ,6,NY,TRAFFIC,
GKE9726,NY,PAS,8019563003,7/16/2015,09:13A,NO PARKING-STREET CLEANING,11/5/2015,$45.00 ,$60.00 ,$2.57 ,$0.00 ,$0.00 ,$107.57 ,42,BX,TRAFFIC,
GKE9726,NY,PAS,8019563003,7/16/2015,09:13A,NO PARKING-STREET CLEANING,11/5/2015,$45.00 ,$60.00 ,$2.57 ,$0.00 ,$0.00 ,$107.57 ,42,BX,TRAFFIC,
